Typ normy,Strefa,Informacje dotyczące obszaru przekroczenia,Przyczyny przekroczenia,Stanowisko pomiarowe,Data i godzina,Czas trwania,Liczba mieszkańców,Wartość maksymalnego stężenia (µg/m3),Informacje o podjętych ograniczeniach,Dodatkowe informacje,Odnośnik do strony internetowej z informacjami,Odnośnik do strony internetowej z planem działań,Prognoza zmian stężeń,"Obszar geograficzny, na którym spodziewane są przekroczenia",Informacje w sprawie grup ludności objętych ryzykiem,Opis prawdopodobnych symptomów,Zalecane środki ostrożności,"Wskazanie, gdzie można uzyskać dalsze informacje",Identyfikator stacji,Kod stacji,Nazwa stacji,WGS84 φ N,WGS84 λ E,Identyfikator miasta,Nazwa miasta,Gmina,Powiat,Województwo,Ulica
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsNowRudJezi,2024-03-30 00:00:00,,,259.3100375,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0203 miasto Wałbrzych,,,DsWalbrzWyso,2024-03-30 00:00:00,24godziny,,107.0,,,,,,,,,,,109.0,DsWalbrzWyso,"Wałbrzych, ul. Wysockiego",50.768729,16.269677,998.0,Wałbrzych,Wałbrzych,Wałbrzych,DOLNOŚLĄSKIE,ul. Wysockiego 11
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsStrzegomMOB,2024-03-30 00:00:00,24godziny,,124.9,,,,,,,,,,,12055.0,DsStrzegomMOB,Strzegom,50.969633,16.348469,888.0,Strzegom,Strzegom,świdnicki,DOLNOŚLĄSKIE,ul. A. Mickiewicza 2
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsNowRudJezi,2024-03-30 00:00:00,24godziny,,104.1,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0202 miasto Legnica,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),DsLegAlRzecz,2024-03-30 00:00:00,24godziny,,123.0,,,,,,,,,,,52.0,DsLegAlRzecz,"Legnica, al. Rzeczypospolitej",51.204503,16.180513,453.0,Legnica,Legnica,Legnica,DOLNOŚLĄSKIE,al. Rzeczypospolitej 10/12
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,Miasto Nowa Ruda,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",DsNowRudJezi,2024-02-10 00:00:00,24godziny,21300.0,100.9,Powiadomiono o  przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego.,,Odnośnik do strony internetowej z informacjami	http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Przewidywana poprawa jakości powietrza na najbliższe dni,Brak ryzyka przekroczeń na dzięń 11.022024,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",DsNowRudJezi,2024-01-30 00:00:00,24godziny,,111.0,"Powiadomiono o ryzyku przekroczenia / przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego. 
Powiadomienie o ryzyku przekroczenia jest podstawą do ogłoszenia 2 poziomu zagrożenia zgodnie z „Planem działań krótkoterminowych dla stref województwa dolnośląskiego”.",,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Prognozy na kolejne dni wskazują na poprawę jakości powietrza.,Prognozowane na dzień 31.01.2024 r. przekroczenie poziomu informowania obejmuje powiat kłodzki.,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL0204 strefa dolnośląska,,,DsNowRudJezi,2024-01-29 00:00:00,24godziny,,158.0,"Powiadomiono o ryzyku przekroczenia / przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego. 
Powiadomienie o ryzyku przekroczenia jest podstawą do ogłoszenia 2 poziomu zagrożenia zgodnie z „Planem działań krótkoterminowych dla stref województwa dolnośląskiego”.",,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,,"W dniu 30 stycznia istnieje ryzyko wystąpienia przekroczenia poziomu alarmowego dla pyłu PM10 (150 µg/m3). Prognozowane na dzień 30.01.2024 r. przekroczenie poziomu alarmowego dla pyłu PM10 obejmuje powiat kłodzki.

W dniu 30 stycznia istnieje ryzyko wystąpienia przekroczenia poziomu informowania dla pyłu PM10 (100 µg/m3) na terenie miasta Legnica.","- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",DsNowRudJezi,2024-01-21 00:00:00,24godziny,21300.0,134.1,"Powiadomiono o  przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego. 
Powiadomienie o ryzyku przekroczenia jest podstawą do ogłoszenia 2 poziomu zagrożenia zgodnie z „Planem działań krótkoterminowych dla stref województwa dolnośląskiego”.",,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,"Przewidywana poprawa jakości powietrza w rejonie Nowej Rudy (wzrost temperatury, wiatr i spodziewane opady w godzinach wieczornych). Prognozy IOŚ na kolejne dni wskazują poprawę jakości powietrza na terenie województwa.",Nie prognozuje się przekroczeń w dniu 22.01.2024 r.,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",DsNowRudJezi,2024-01-17 00:00:00,24godziny,21300.0,120.7,"Powiadomiono o  przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego. 
Powiadomienie o ryzyku przekroczenia jest podstawą do ogłoszenia 2 poziomu zagrożenia zgodnie z „Planem działań krótkoterminowych dla stref województwa dolnośląskiego”.",,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Prognozy pokazują poprawę jakości powietrza w najbliższych dniach,Prognoza na dzień 18.01.2024 nie wskazuje ryzyka przekroczeń na terenie miasta,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
